Pais;Codigo_pais;Add ID
Aruba;ABW;10
Afric;AFE;13
Afgha;AFG;16
Afric;AFW;33
Angol;AGO;36
Alban;ALB;112
Andor;AND;144
Arab ;ARB;201
Unite;ARE;269
Argen;ARG;361
Armen;ARM;388
Ameri;ASM;452
Antig;ATG;504
Austr;AUS;544
Austr;AUT;568
Azerb;AZE;630
Burun;BDI;698
Belgi;BEL;779
Benin;BEN;840
Burki;BFA;873
Bangl;BGD;976
Bulga;BGR;978
Bahra;BHR;1020
Baham;BHS;1082
Bosni;BIH;1099
Belar;BLR;1167
Beliz;BLZ;1233
Bermu;BMU;1301
Boliv;BOL;1385
Brazi;BRA;1403
Barba;BRB;1476
Brune;BRN;1547
Bhuta;BTN;1581
Botsw;BWA;1651
Centr;CAF;1680
Canad;CAN;1741
Centr;CEB;1767
Switz;CHE;1851
Chann;CHI;1897
Chile;CHL;1955
China;CHN;2035
Cote ;CIV;2040
Camer;CMR;2133
Congo;COD;2202
Congo;COG;2261
Colom;COL;2287
Comor;COM;2330
Cabo ;CPV;2382
Costa;CRI;2428
Carib;CSS;2528
Cuba ;CUB;2560
Curac;CUW;2630
Cayma;CYM;2656
Cypru;CYP;2753
Czech;CZE;2784
Germa;DEU;2844
Djibo;DJI;2878
Domin;DMA;2925
Denma;DNK;2985
Domin;DOM;3047
Alger;DZA;3072
East ;EAP;3166
Early;EAR;3226
East ;EAS;3289
Europ;ECA;3354
Europ;ECS;3367
Ecuad;ECU;3384
Egypt;EGY;3508
Euro ;EMU;3545
Eritr;ERI;3603
Spain;ESP;3668
Eston;EST;3730
Ethio;ETH;3772
Europ;EUU;3812
Fragi;FCS;3859
Finla;FIN;3913
Fiji ;FJI;3975
Franc;FRA;4023
Faroe;FRO;4105
Micro;FSM;4149
Gabon;GAB;4215
Unite;GBR;4245
Georg;GEO;4327
Ghana;GHA;4376
Gibra;GIB;4443
Guine;GIN;4500
Gambi;GMB;4552
Guine;GNB;4598
Equat;GNQ;4644
Greec;GRC;4712
Grena;GRD;4759
Green;GRL;4832
Guate;GTM;4872
Guam ;GUM;4904
Guyan;GUY;4951
High ;HIC;4988
Hong ;HKG;5057
Hondu;HND;5144
Heavi;HPC;5193
Croat;HRV;5246
Haiti;HTI;5302
Hunga;HUN;5337
IBRD ;IBD;5401
IDA &;IBT;5440
IDA t;IDA;5488
IDA b;IDB;5638
Indon;IDN;5639
IDA o;IDX;5703
Isle ;IMN;5735
India;IND;5801
Not c;INX;5820
Irela;IRL;5872
Iran,;IRN;5941
Iraq ;IRQ;6001
Icela;ISL;6104
Israe;ISR;6159
Italy;ITA;6190
Jamai;JAM;6226
Jorda;JOR;6303
Japan;JPN;6333
